date,cash,market_value,total_nav,return_pct
20260902,100475.4,0,100475.4,0.00
20260903,77169.57,25340,102509.57,2.02
20260904,75865.6,26560,102425.6,1.94
20260907,68351.02,34595,102946.02,2.46
20260908,89734.97,14150,103884.97,3.39
20260909,89734.97,13225,102959.97,2.47
20260910,103099.94,0,103099.94,2.61
20260911,103099.94,0,103099.94,2.61
20260914,103099.94,0,103099.94,2.61
20260915,103099.94,0,103099.94,2.61
20260916,83825.12,20230,104055.12,3.56
20260917,83299.45,21900,105199.45,4.70
20260918,106891.75,0,106891.75,6.39
