date,cash,market_value,total_nav,return_pct,sh_close
20260901,90467.9,10005,100472.9,0,3979.89
20260902,90467.9,10020,100487.9,0.01,3941.39
20260903,90467.9,9810,100277.9,-0.2,3942.09
20260904,90467.9,9855,100322.9,-0.15,3930.12
20260907,70976.03,29442,100418.03,-0.06,3932.7
20260908,70976.03,29150,100126.03,-0.35,3940.55
20260909,70976.03,29175,100151.03,-0.32,3951.51
20260910,70976.03,29328,100304.03,-0.17,3934.4
20260911,89962.78,9855,99817.78,-0.65,3888.11
20260914,89962.78,9960,99922.78,-0.55,3885.33
20260915,89962.78,9855,99817.78,-0.65,3864.28
20260916,89962.78,9840,99802.78,-0.67,3891.6
20260917,89962.78,9870,99832.78,-0.64,3875.6
20260918,89962.78,9810,99772.78,-0.7,3911.87
